Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"weak/left associated monadic binds/0",1.920366792126882e-8,1.9196090913152476e-8,1.9215866327485478e-8,3.166742527848569e-11,2.2020850431698694e-11,4.806260453276212e-11
"weak/left associated monadic binds/200",2.113901989256884e-4,2.1136407791066448e-4,2.1142757595309233e-4,1.0408702093762147e-7,7.403569322788556e-8,1.5905735606913955e-7
"weak/left associated monadic binds/400",4.319758149846423e-4,4.31685452387226e-4,4.3278716809799463e-4,1.3659802959850772e-6,2.9929406998693724e-7,2.4554752894165908e-6
"weak/left associated monadic binds/600",6.681457818923483e-4,6.680283001207233e-4,6.682810542670988e-4,4.2459722858903664e-7,3.097218944255277e-7,6.064083845572054e-7
"weak/left associated monadic binds/800",8.929256134356011e-4,8.922696005367332e-4,8.938482852914813e-4,2.6296125821585314e-6,1.967310968126123e-6,3.920283980502432e-6
"weak/left associated monadic binds/1000",1.1476699842767762e-3,1.1454785941222882e-3,1.14917378427153e-3,6.0571666905426714e-6,4.427831606111774e-6,9.742899580191023e-6
"weak/right associated monadic binds/0",1.919978041585029e-8,1.919492165661066e-8,1.922167174487687e-8,2.8919861639568233e-11,3.801086168938827e-12,6.578305991855061e-11
"weak/right associated monadic binds/200",2.659832040632967e-4,2.6590490839270255e-4,2.660907535484754e-4,3.062997106192975e-7,2.2531471161758317e-7,4.854442044508609e-7
"weak/right associated monadic binds/400",5.272426239555951e-4,5.271503243914749e-4,5.274097384375139e-4,4.3168077215475086e-7,2.652586364864414e-7,7.434562381511382e-7
"weak/right associated monadic binds/600",7.978314917456195e-4,7.977237754031011e-4,7.979608089630185e-4,4.0559864037202933e-7,3.102803370074711e-7,5.742810198086024e-7
"weak/right associated monadic binds/800",1.060604546567286e-3,1.060436420212546e-3,1.0608061767810857e-3,6.507420782858126e-7,4.872367270349962e-7,8.613558440794259e-7
"weak/right associated monadic binds/1000",1.3188779167889561e-3,1.3186379132397944e-3,1.319151006572482e-3,9.024163565629763e-7,7.163823331175364e-7,1.1844814042962493e-6
"weak/<*> with >>=/0",1.9238396404004144e-8,1.923609460261908e-8,1.924311216551816e-8,1.0751461508902496e-11,4.216214401272674e-12,1.932930519426215e-11
"weak/<*> with >>=/200",9.355419858710967e-3,9.352326940223638e-3,9.358951912025846e-3,8.369124047770917e-6,6.455416389054695e-6,1.1861876564936522e-5
"weak/<*> with >>=/400",3.9296651876612486e-2,3.928023069609632e-2,3.932180087458043e-2,3.9359762421266075e-5,2.2859908139149878e-5,5.786904777616961e-5
"weak/<*> with >>=/600",9.319682199595102e-2,9.314757070255475e-2,9.324287620146056e-2,7.423810643030923e-5,4.749353456795951e-5,1.1155754072913903e-4
"weak/<*> with >>=/800",0.1751671380850016,0.17500007976027976,0.1752981609467044,1.962062346430047e-4,1.1302639084421071e-4,2.773271145678838e-4
"weak/<*> with >>=/1000",0.2944806951383265,0.2940087974862466,0.2948396923682921,4.5478067853408076e-4,2.4876736816661915e-4,5.479841703505048e-4
"weak/balanced monadic binds/0",1.9242494141040488e-8,1.9240848321790475e-8,1.9245273077132437e-8,7.2630916795796286e-12,4.9315790593029035e-12,1.0314459448863355e-11
"weak/balanced monadic binds/200",3.792260115542274e-4,3.79139350396823e-4,3.7952668192587215e-4,4.93954210389885e-7,1.3855808646804088e-7,1.0131071945224196e-6
"weak/balanced monadic binds/400",7.617236388248666e-4,7.616423698051853e-4,7.618436064268584e-4,3.4685752848888783e-7,2.1663314392821258e-7,5.747381836196152e-7
"weak/balanced monadic binds/600",1.1459147340473494e-3,1.1458052275021536e-3,1.1460458526963003e-3,4.165967806418958e-7,3.3195358804348963e-7,5.621273433255879e-7
"weak/balanced monadic binds/800",1.5278358895741456e-3,1.5276623632262257e-3,1.5280911286148443e-3,7.38889353478205e-7,4.709972303394948e-7,1.2485406373646436e-6
"weak/balanced monadic binds/1000",1.9155519707726458e-3,1.9148183822032961e-3,1.9163080674671632e-3,2.5913796894791934e-6,2.1224879091787143e-6,3.365912927642142e-6
"weak/left associated >>/0",1.924469835804502e-8,1.9241828418325068e-8,1.9251790156425295e-8,1.3686327554118159e-11,5.447606941609179e-12,2.634458852419386e-11
"weak/left associated >>/200",1.8850672403144413e-4,1.8843870051921338e-4,1.8858040918799887e-4,2.387615891976377e-7,1.8368365786926644e-7,3.332628945709181e-7
"weak/left associated >>/400",4.067629910329396e-4,4.065856972364303e-4,4.0694548371288423e-4,5.994089611302691e-7,4.96410771710212e-7,7.695074123351187e-7
"weak/left associated >>/600",6.480538342774349e-4,6.465895107329309e-4,6.50271018238131e-4,6.085167296530636e-6,4.649342618794932e-6,8.593571344366309e-6
"weak/left associated >>/800",9.679731428837349e-4,9.656544435745451e-4,9.712188675598374e-4,8.959650078801706e-6,6.836909118674181e-6,1.3989892483126247e-5
"weak/left associated >>/1000",1.3585434864955546e-3,1.351937419166272e-3,1.3634106537195807e-3,1.8209104452886774e-5,1.4559397211477633e-5,2.3928995317841724e-5
"weak/right associated >>/0",1.921035323581542e-8,1.9207476143822205e-8,1.9214971213246528e-8,1.1760207180457309e-11,7.2571399834087606e-12,1.6593285511712843e-11
"weak/right associated >>/200",1.8429324036005847e-4,1.8424935484105592e-4,1.8432975909704589e-4,1.3316519797355377e-7,1.083331416850783e-7,1.7487319688560702e-7
"weak/right associated >>/400",3.840644985082327e-4,3.8392920945542753e-4,3.8418478811883683e-4,4.335730313641572e-7,3.447195393093268e-7,5.788355315414345e-7
"weak/right associated >>/600",6.065934497798284e-4,6.055046160071375e-4,6.080354920632467e-4,4.372025397160607e-6,3.322609253770088e-6,5.759617153112241e-6
"weak/right associated >>/800",9.086712317009106e-4,9.054983912590314e-4,9.11134615328604e-4,9.269785398582925e-6,6.476996837761957e-6,1.4274952116067588e-5
"weak/right associated >>/1000",1.2450600677691784e-3,1.2401369029214472e-3,1.2488847842663726e-3,1.4228466766914686e-5,1.009851815064008e-5,2.282734635437322e-5
"strong/left associated monadic binds/0",1.336682117826889e-7,1.3329962324684914e-7,1.3399360171791493e-7,1.1776364325808737e-9,9.623990598918654e-10,1.4647936593332497e-9
"strong/left associated monadic binds/200",4.511952453150899e-4,4.5112306889115894e-4,4.5127931773005495e-4,2.6488364031262895e-7,2.0706699140417927e-7,3.4215062117126107e-7
"strong/left associated monadic binds/400",9.168629840206683e-4,9.163784631670779e-4,9.173704666991595e-4,1.675563471740828e-6,1.422522905385009e-6,2.0365210533776364e-6
"strong/left associated monadic binds/600",1.3999915547897757e-3,1.3997551298904646e-3,1.4003819479393505e-3,1.0538962445178075e-6,6.959574749915648e-7,1.8254655560676014e-6
"strong/left associated monadic binds/800",1.896941737292066e-3,1.8948934990217676e-3,1.899523039959309e-3,7.957207873871345e-6,6.842859675066805e-6,9.34929904075947e-6
"strong/left associated monadic binds/1000",2.383015034956946e-3,2.3775558254828183e-3,2.3883451983113336e-3,1.7764349424914372e-5,1.4041648287238941e-5,2.292717539616574e-5
"strong/right associated monadic binds/0",1.3173739342107147e-7,1.314723043215586e-7,1.3213356586958752e-7,1.0650126948114716e-9,7.639258019106727e-10,1.3952926122576837e-9
"strong/right associated monadic binds/200",4.7642507386576685e-4,4.7636234744541074e-4,4.76507960190243e-4,2.488342433152701e-7,2.0112918631786985e-7,3.16745707693748e-7
"strong/right associated monadic binds/400",9.536511554267053e-4,9.533707713138841e-4,9.549066307124142e-4,1.6996835844178527e-6,2.5070574833491956e-7,3.87746682768377e-6
"strong/right associated monadic binds/600",1.429160286639332e-3,1.4290545115930753e-3,1.429313523567876e-3,4.357895821608513e-7,3.2047772638365963e-7,7.461042645388386e-7
"strong/right associated monadic binds/800",1.9004799925556896e-3,1.900147149508894e-3,1.9012371527578381e-3,1.6626184869951275e-6,7.397765836443301e-7,2.74920830131536e-6
