Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"strong/right associated monadic binds/1000",2.3833557597015575e-3,2.383102363113151e-3,2.383741018982887e-3,1.064826289842657e-6,6.616662298732435e-7,1.7476800921402591e-6
"strong/<*> with >>=/0",1.3109436161719424e-7,1.309009026501023e-7,1.3134674458053263e-7,6.999631213000273e-10,5.862475429393569e-10,8.256038450894196e-10
"strong/<*> with >>=/200",1.559078631762244e-2,1.558579796346784e-2,1.559707096696253e-2,1.4080267760211065e-5,1.0364656029728628e-5,1.9095700187070046e-5
"strong/<*> with >>=/400",6.61543211990793e-2,6.611648983470766e-2,6.617659803603657e-2,5.07410595327527e-5,3.222294855989624e-5,8.077771258202323e-5
"strong/<*> with >>=/600",0.1603338345537578,0.1602160562470561,0.16047853780973162,1.8037511927462426e-4,1.0636425151667801e-4,2.5906223526797454e-4
"strong/<*> with >>=/800",0.3077487281430416,0.30755372174180196,0.30782688905665473,1.3543287278014874e-4,3.4905006542601535e-5,1.8050489805857548e-4
"strong/<*> with >>=/1000",0.5183335910841927,0.5180275112842497,0.5185362998371835,3.040831918932978e-4,0.0,3.511018593187626e-4
"strong/balanced monadic binds/0",1.3045661382064542e-7,1.303912215417987e-7,1.3052263761340746e-7,2.267850218672479e-10,1.8895081018288645e-10,2.832665744893194e-10
"strong/balanced monadic binds/200",6.164321781914754e-4,6.163890539728613e-4,6.16493976752784e-4,1.813449791687587e-7,1.4320438897682478e-7,2.5947655087743145e-7
"strong/balanced monadic binds/400",1.236545329984634e-3,1.2364380785243863e-3,1.2367541201779664e-3,4.678536142112548e-7,3.1367934740369506e-7,7.503226018501844e-7
"strong/balanced monadic binds/600",1.8731348644489732e-3,1.8727453540852966e-3,1.8745888830384722e-3,2.2412489620395486e-6,7.336673253468677e-7,4.928171682874496e-6
"strong/balanced monadic binds/800",2.514373968065011e-3,2.5139738980096277e-3,2.514877290942608e-3,1.4945113963161295e-6,1.2282679327552977e-6,1.7955293464678724e-6
"strong/balanced monadic binds/1000",3.1339522825031864e-3,3.133154089961075e-3,3.1349665001036016e-3,2.8769071836036053e-6,2.244481549735416e-6,3.849873673564426e-6
"strong/left associated >>/0",1.3057746245335342e-7,1.3047604777057453e-7,1.3069778688660107e-7,3.913462543724809e-10,3.249594545060512e-10,4.945824686649396e-10
"strong/left associated >>/200",8.646389659950734e-4,8.636905509111886e-4,8.656181652855944e-4,3.189662731098022e-6,2.522393706254409e-6,4.15325809336242e-6
"strong/left associated >>/400",2.01301836498689e-3,2.0107460602005814e-3,2.015916555010335e-3,9.442955179151195e-6,7.713299519775014e-6,1.185398707805699e-5
"strong/left associated >>/600",3.1706745256996844e-3,3.165843334295651e-3,3.1745837293169687e-3,1.3561006035102285e-5,1.0058263338987987e-5,1.8067934298474326e-5
"strong/left associated >>/800",4.342448364692274e-3,4.333361706838774e-3,4.352776946709523e-3,3.176511223713197e-5,2.4221373323626564e-5,4.119645873420249e-5
"strong/left associated >>/1000",5.493669238549152e-3,5.479514006372819e-3,5.508073890225335e-3,4.443790537448253e-5,3.292185249815441e-5,5.881402100842815e-5
"strong/right associated >>/0",1.306872889281635e-7,1.3060538394998685e-7,1.3079163031538648e-7,3.0191956077950304e-10,2.408629368816321e-10,3.7652555558220636e-10
"strong/right associated >>/200",7.318620651008454e-4,7.31049295178356e-4,7.326823148566338e-4,2.7182468702397604e-6,2.0616862555156816e-6,3.76102546812463e-6
"strong/right associated >>/400",1.5935251305345224e-3,1.5911747679503597e-3,1.595555786007147e-3,7.192704040781834e-6,5.992551623747943e-6,9.155534889694795e-6
"strong/right associated >>/600",2.497612825787674e-3,2.4938932724380587e-3,2.5015786747669736e-3,1.2969850748524236e-5,1.0264985645850201e-5,1.759504908229943e-5
"strong/right associated >>/800",3.4672949021402576e-3,3.4618438132614183e-3,3.4723241667168024e-3,1.625645975609375e-5,1.3301540973375637e-5,2.1262816790578902e-5
"strong/right associated >>/1000",4.336164528668946e-3,4.327694169694614e-3,4.341424134057345e-3,2.1318642733987508e-5,1.570612094712799e-5,3.070119039425456e-5
"app/left associated monadic binds/0",5.363141568163348e-7,5.347069250454086e-7,5.379562390898558e-7,5.506966733457244e-9,4.657585696025081e-9,6.690704534837086e-9
"app/left associated monadic binds/200",6.892302705165579e-4,6.891335808965329e-4,6.89357374000985e-4,3.663555517421159e-7,2.634559549060736e-7,5.78900501420636e-7
"app/left associated monadic binds/400",1.4033318991492755e-3,1.4030886652083485e-3,1.4036879228784078e-3,9.762085524123549e-7,7.870376284295575e-7,1.3719570070721754e-6
"app/left associated monadic binds/600",2.1485869945084826e-3,2.14587169892046e-3,2.151609908819368e-3,9.977663617940684e-6,8.348596458897686e-6,1.2072491966245839e-5
"app/left associated monadic binds/800",2.867557816607936e-3,2.864132616359239e-3,2.871469840397746e-3,1.285835078549581e-5,9.78885224608232e-6,1.7567003083976132e-5
"app/left associated monadic binds/1000",3.600894395883353e-3,3.595362083393927e-3,3.6077509016939047e-3,2.0132374762597677e-5,1.5336576191500613e-5,2.8380658529872698e-5
"app/right associated monadic binds/0",5.297643736712829e-7,5.290283828463914e-7,5.30478860214852e-7,2.4422806679606746e-9,1.7597483769973473e-9,3.66459776080647e-9
"app/right associated monadic binds/200",7.629665892853288e-4,7.627276824164446e-4,7.632090054426857e-4,7.950765042660774e-7,6.49210785238846e-7,1.0777122660338446e-6
"app/right associated monadic binds/400",1.5183072722207119e-3,1.5178452485004475e-3,1.5189338162270062e-3,1.9150242269785847e-6,1.3463190622132855e-6,3.0010955294989983e-6
"app/right associated monadic binds/600",2.2770343207548635e-3,2.27633490125685e-3,2.277936350005179e-3,2.672673509867105e-6,2.182149577159079e-6,3.780625816431896e-6
"app/right associated monadic binds/800",3.0381546130252685e-3,3.0372861659820416e-3,3.039224066453044e-3,3.212072227555341e-6,2.6220412934694462e-6,4.164386209585952e-6
"app/right associated monadic binds/1000",3.7939035777591044e-3,3.793045990248924e-3,3.795415887808976e-3,3.574625511322454e-6,2.47456739344068e-6,5.2831190385006e-6
"app/<*> with >>=/0",5.270915843463273e-7,5.265090404330138e-7,5.275327183678223e-7,1.7151175391533603e-9,1.1795149534138332e-9,2.4512348584497404e-9
"app/<*> with >>=/200",1.7891856644395833e-2,1.7886107645135978e-2,1.7908244986066843e-2,2.0812715355985114e-5,1.0902941843220725e-5,3.794111922047624e-5
"app/<*> with >>=/400",7.924164827703761e-2,7.918201629041864e-2,7.930392593705994e-2,1.0292242304984894e-4,7.225197297349598e-5,1.4535308476902527e-4
"app/<*> with >>=/600",0.20286126961866002,0.2026994219469472,0.20306520573822362,2.1919929733465996e-4,1.3230494891095353e-4,2.9103203288514175e-4
"app/<*> with >>=/800",0.41156405790951117,0.41059309413848605,0.4121727002898758,9.184740338802688e-4,0.0,1.0541995264311541e-3
"app/<*> with >>=/1000",0.721929893605763,0.7209930889746751,0.722419927403366,8.138878772691352e-4,0.0,8.487634348741969e-4
"app/balanced monadic binds/0",5.269934613139227e-7,5.2650267462028e-7,5.274175477359716e-7,1.4753959946541158e-9,1.1896673639509228e-9,1.886546291456437e-9
"app/balanced monadic binds/200",9.165768119451965e-4,9.164784150902773e-4,9.166790294718859e-4,3.440491865287143e-7,2.6925516584346435e-7,4.4182453368427647e-7
"app/balanced monadic binds/400",1.8419848295214193e-3,1.841780761323243e-3,1.8424049244533127e-3,8.99145457066323e-7,4.689703075345385e-7,1.6683078048021712e-6
"app/balanced monadic binds/600",2.7536690691765298e-3,2.7533219759997276e-3,2.754138212521069e-3,1.3056185826676846e-6,9.222111424300509e-7,2.0543325658242675e-6
"app/balanced monadic binds/800",3.686822564625451e-3,3.686332138686012e-3,3.6876007483605546e-3,1.8602372126650247e-6,1.1676454660920858e-6,2.6591764860665594e-6
"app/balanced monadic binds/1000",4.618655850794009e-3,4.617158099864915e-3,4.619573813555763e-3,3.990903099665511e-6,1.919876345343584e-6,6.266308016109938e-6
"app/left associated >>/0",5.340899423953826e-7,5.323328686961826e-7,5.355993330168384e-7,5.472513722268425e-9,4.336237732223281e-9,6.789215968727663e-9
"app/left associated >>/200",5.814825436820281e-4,5.804297637208939e-4,5.826565486145817e-4,3.7656410917071104e-6,3.1240780186392058e-6,4.9741842609637895e-6
"app/left associated >>/400",1.6214925707692673e-3,1.6195342677890433e-3,1.6233417689778904e-3,6.4701886506130626e-6,5.48207144604773e-6,7.990651469451413e-6
"app/left associated >>/600",2.817865193397271e-3,2.8125691583499746e-3,2.8231952906293033e-3,1.790408727343977e-5,1.5027996381162277e-5,2.128047004216749e-5
"app/left associated >>/800",3.855688261478304e-3,3.8339070829655803e-3,3.886684383055007e-3,8.019406400999817e-5,5.61790181302482e-5,1.066720885550717e-4
"app/left associated >>/1000",5.253610337739021e-3,5.23837334579325e-3,5.275898970778137e-3,5.7966499351045085e-5,4.353973246290983e-5,7.128668287403673e-5
"app/right associated >>/0",5.366489150067354e-7,5.350639747470396e-7,5.379747932906027e-7,4.973359331376375e-9,3.826468800119151e-9,6.689184360271004e-9
"app/right associated >>/200",5.37624250535142e-4,5.370889563366733e-4,5.381462053535044e-4,1.8027511739419887e-6,1.3971659737897514e-6,2.3269337286855343e-6
"app/right associated >>/400",1.3424778271806756e-3,1.3410074369560473e-3,1.345027877904818e-3,6.061212329138698e-6,4.381062120339546e-6,9.606805697639891e-6
"app/right associated >>/600",2.197601479424772e-3,2.1940985492567306e-3,2.2001307648020843e-3,9.83189923243809e-6,7.082678376862836e-6,1.4111412770982812e-5
"app/right associated >>/800",3.1421053297803494e-3,3.1298885055188025e-3,3.1534391953850225e-3,3.6988417247670455e-5,2.928041479389713e-5,4.860834752391088e-5
"app/right associated >>/1000",4.07024423261724e-3,4.066211636864291e-3,4.07395937833062e-3,1.2340370480885333e-5,9.731537809147123e-6,1.5723331796776938e-5
